Qty,Value,Device,Package,Parts,Description,,
68,0.1uF,0.1UF-25V(+80/-20%)(0603),0603-CAP,"C5, C7, C10, C11, C12, C13, C14, C15, C18, C19, C22, C23, C25, C26, C27, C28, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80, C81, C82",CAP-00810,,
1,10nF,0.1UF-25V(+80/-20%)(0603),0603-CAP,C4,CAP-00810,,
4,10uF,CAP_CERAMIC1206,1206,"C1, C2, C6, C83",Ceramic Capacitors,,
2,1K,0.05OHM-1/5W-1%(0603),603,"R1, R2",,,
9,1uF,CAP_CERAMIC1206,1206,"C3, C8, C9, C17, C20, C21, C24, C84, C85",Ceramic Capacitors,,
1,22R,0.05OHM-1/5W-1%(0603),603,R4,,,
3,22uF,CAP_CERAMIC1206,1206,"C16, C29, C54",Ceramic Capacitors,,
1,4K7,R-EU_R1206,R1206,R3,"RESISTOR, European symbol",,
1,87758-4416,87758-4416,87758-4416,IDE,"44 Pin - 2mm Dual Row Single Wafer, Vertical T/H HDR",,
1,AMIGA_A1200-EXPANSION_SLOT,AMIGA_A1200-EXPANSION_SLOT,AMIGA_CON_150,CN1,,,
2,AS4C32M16SA-7TCN,MT48LC16M16A2P-6A_G,SOP80P1176X120-54N,"IC7, IC8","MT48LC16M16A2P-6A:G, SDRAM Memory 256mb Surface Mount, 3  3.6 V, 0  +70 C, 54-pin, TSOP",,
1,BC817-40,BC817-40-NPN-SOT23-BEC,SOT23-BEC,T1,NPN Transistror,,
1,CAY16-103J4LF,CAY16-103J4LF,RESCAXE80P320X160-8N,RN5,Res Thick Film Array 10K Ohm 5% 200ppm/C ISOL Molded 8-Pin 1206(4 X 0603) Convex SMD Paper T/R,,
8,CAY16-220J4LF,CAY16-220J4LF,RESCAXE80P320X160-8N,"RN6, RN7, RN8, RN9, RN10, RN11, RN12, RN13",Res Thick Film Array 10K Ohm 5% 200ppm/C ISOL Molded 8-Pin 1206(4 X 0603) Convex SMD Paper T/R,,
3,CAY16-222J4LF,CAY16-222J4LF,RESCAXE80P320X160-8N,"RN1, RN2, RN4",Res Thick Film Array 10K Ohm 5% 200ppm/C ISOL Molded 8-Pin 1206(4 X 0603) Convex SMD Paper T/R,,
1,ENABLE,JUMPER-2PTH,1X02,ENABLE060,Jumper,,
1,JTAG,HEADER-1X6ROUND,1X06_ROUND,JTAG1,PIN HEADER,,
1,MC68060 ONLY,MC68040/68060,MC68040/68060,CPU,Motorola 68040 or 68060 32 Bit CPUby John Hertell,,
1,NB3N3020DTG,NB3N3020DTG,SOP65P640X120-16N,IC1,Source:  Datasheet,,
5,SN74CB3T3245PW,SN74CB3T3245PW,SOP65P640X120-20N,"U1, U2, U5, U6, U7",8-BIT FET BUS SWITCH,,
1,X25MHZ,OSCILLATOR,OSC_7X5MM,OSC2,Oscillators,,
2,XC95288XL-10TQG144I,XC95288XL-10TQG144I,QFP50P2200X2200X160-144N,"BUSCPLD, RAMCPLD","XC95144XL-10TQG144I XC95144XL-10TQG144I, CPLD XC9500XL Flash 144 Cells, 117 I/O, 8 Labs, ISP, 3  3.6 V 144-Pin TQFP",,